count,region
18,Florida
72,New York
3,Indiana
12,Wisconsin
6,North Dakota
10,Washington
9,Michigan
5,North Carolina
2,Maryland
9,California
1,District of Columbia
122,Arizona
8,New Jersey
1,South Carolina
12,Illinois
14,Texas
1,New Hampshire
1,Delaware
1,Georgia
8,Pennsylvania
1,Louisiana
1,Arkansas
