count,region
5,Minnesota
443,Michigan
92,Wisconsin
14,North Carolina
47,Kansas
23,Pennsylvania
23,California
15,Illinois
16,New Jersey
1,Georgia
14,Maine
25,Massachusetts
138,Maryland
4,Oregon
114,Washington
2,District of Columbia
1,South Dakota
36,Virginia
29,Missouri
3,Kentucky
1,Iowa
